Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,391,11.4
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,3012,11.4
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DE,94,11.4
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WA,743,11.4
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,AL,521,11.4
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,AL,512,11.4
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,OH,1319,11.4
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MS,325,11.4
2014,Diabetes mellitus (E10-E14),Diabetes,NV,350,11.4
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,AZ,768,11.4
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,GA,935,11.4
1999,Alzheimer's disease (G30),Alzheimer's disease,CT,449,11.4
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,SC,467,11.4
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,VT,72,11.4
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MD,583,11.5
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,78,11.5
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,UT,178,11.5
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DE,119,11.5
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,RI,149,11.5
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,104,11.5
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,483,11.5
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MD,751,11.5
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,HI,201,11.5
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,409,11.5
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,265,11.5
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,LA,492,11.5
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,74,11.5
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TX,2896,11.5
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NH,194,11.5
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,AL,535,11.5
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,OH,1341,11.5
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,AL,514,11.5
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MI,1169,11.5
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,1009,11.5
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,SC,476,11.5
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IA,343,11.5
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WY,58,11.6
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NY,2383,11.6
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NH,141,11.6
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,UT,210,11.6
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AK,30,11.6
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,504,11.6
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WA,771,11.6
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,SC,530,11.6
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TX,2809,11.6
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WI,647,11.6
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,751,11.6
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,KY,470,11.6
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,1077,11.6
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WI,643,11.6
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NE,220,11.6
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,GA,972,11.6
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,USA,36035,11.6
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,205,11.6
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,HI,176,11.7
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,572,11.7
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,293,11.7
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,223,11.7
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,UT,184,11.7
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,680,11.7
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WY,54,11.7
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,VA,963,11.7
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,AL,541,11.7
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,RI,176,11.7
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,VA,963,11.7
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IN,715,11.7
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,OR,507,11.7
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,GA,1168,11.7
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NE,223,11.7
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MS,328,11.7
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TX,3059,11.7
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,GA,1133,11.7
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DE,107,11.7
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WI,639,11.7
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,GA,1157,11.7
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,173,11.8
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,HI,164,11.8
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SC,434,11.8
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NH,160,11.8
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,98,11.8
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,677,11.8
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,810,11.8
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,HI,220,11.8
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NH,203,11.8
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,PA,1539,11.8
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TX,2891,11.8
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,USA,36909,11.8
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NE,201,11.8
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MO,679,11.8
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MI,1180,11.8
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,SC,510,11.8
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,986,11.8
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,558,11.8
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,VA,948,11.8
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,HI,171,11.8
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ME,154,11.8
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,SC,524,11.8
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,565,11.9
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,417,11.9
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MD,713,11.9
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,67,11.9
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NY,2415,11.9
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WI,888,11.9
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WI,677,11.9
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,RI,156,11.9
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,622,11.9
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WY,57,11.9
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OK,425,11.9
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,266,11.9
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MS,336,11.9
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NH,166,11.9
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IN,736,11.9
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TX,3037,11.9
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,PA,1576,11.9
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,1027,11.9
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WI,662,11.9
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IN,745,11.9
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,LA,537,11.9
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WA,712,11.9
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,GA,1134,11.9
2003,Alzheimer's disease (G30),Alzheimer's disease,HI,161,11.9
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IA,352,11.9
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DE,109,11.9
1999,Alzheimer's disease (G30),Alzheimer's disease,AK,24,11.9
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IA,361,11.9
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,LA,518,11.9
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MT,116,12
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MT,132,12
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,231,12
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MD,563,12
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,175,12
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,719,12
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NY,2302,12
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,SC,690,12
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,110,12
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,268,12
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,UT,220,12
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NH,150,12
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,RI,163,12
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,1174,12
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WI,670,12
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,606,12
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,656,12
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,997,12
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NH,158,12
1999,Alzheimer's disease (G30),Alzheimer's disease,NJ,1041,12
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NH,162,12
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,LA,522,12
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,GA,1212,12
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,971,12
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,OR,517,12
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,LA,532,12
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,SC,565,12
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,68,12.1
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,186,12.1
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,570,12.1
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,472,12.1
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MD,593,12.1
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2946,12.1
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MD,823,12.1
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,HI,174,12.1
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,232,12.1
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,457,12.1
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,584,12.1
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,258,12.1
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,605,12.1
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WV,229,12.1
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NJ,1257,12.1
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,678,12.1
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IA,372,12.1
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,KS,337,12.1
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,568,12.1
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,USA,38364,12.1
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ME,161,12.1
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IN,743,12.1
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,KY,495,12.1
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,76,12.1
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MO,693,12.1
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WY,78,12.2
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,HI,179,12.2
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,3050,12.2
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NY,2421,12.2
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,68,12.2
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,614,12.2
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2923,12.2
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,1106,12.2
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2029,12.2
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MT,155,12.2
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2802,12.2
2004,Alzheimer's disease (G30),Alzheimer's disease,HI,171,12.2
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,711,12.2
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,KS,325,12.2
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TX,3254,12.2
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,VT,81,12.2
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,OH,1439,12.2
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MS,350,12.2
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,PA,1631,12.2
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,1174,12.2
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MI,1221,12.2
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,OH,1412,12.2
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,686,12.2
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,RI,132,12.2
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MS,343,12.2
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,604,12.2
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,217,12.3
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,249,12.3
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MD,834,12.3
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,675,12.3
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NY,2465,12.3
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WY,72,12.3
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,669,12.3
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,245,12.3
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,654,12.3
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,1162,12.3
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,VT,77,12.3
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,RI,129,12.3
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IN,790,12.3
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,SD,94,12.3
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,USA,39518,12.3
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WA,809,12.3
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ND,81,12.3
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NC,1213,12.3
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,659,12.3
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,550,12.3
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,266,12.3
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,OH,1465,12.3
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,LA,557,12.3
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,239,12.4
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,569,12.4
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NH,174,12.4
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MD,594,12.4
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,RI,174,12.4
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,UT,270,12.4
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,186,12.4
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,OK,546,12.4
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2086,12.4
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ID,218,12.4
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WA,738,12.4
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,LA,583,12.4
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MO,715,12.4
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ME,171,12.4
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ME,175,12.4
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,AL,580,12.4
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WI,723,12.4
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,WA,727,12.4
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,AL,592,12.4
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,PA,1647,12.4
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,73,12.4
2012,Alzheimer's disease (G30),Alzheimer's disease,HI,249,12.4
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,LA,567,12.4
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NY,2440,12.5
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,470,12.5
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AK,53,12.5
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,HI,197,12.5
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,669,12.5
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,644,12.5
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WY,69,12.5
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,118,12.5
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,AK,61,12.5
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,70,12.5
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,AL,555,12.5
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MS,380,12.5
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,HI,175,12.5
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,LA,573,12.5
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MO,699,12.5
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,VA,1072,12.5
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NJ,1402,12.5
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,745,12.5
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2347,12.5
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TX,3403,12.5
